F a l a ; C a n d i d a t o ; S e n t e n ç a ; S e n t i m e n t o
2 3 ; A É C I O      N E V E S ; C a n d i d a t a      a      a u s ê n c i a      d e      p l a n e j a m e n t o      n ã o      é      u m a      v e r g o n h a      n o s      e s t a d o s      m a i s      r i c o s      é      u m a      v e r g o n h a      e m      t o d a s      a s      r e g i õ e s      d o      B r a s i l      e      e s s a      é      a      m a r c a      d o      s e u      g o v e r n o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; A      t r a n s p o s i ç ã o      d o      r i o      S ã o      F r a n c i s c o      q u e      l e v a r i a      á g u a      p a r a      a s      r e g i õ e s      m a i s      c a r e n t e s      d o      p a í s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; E r a      p a r a      t e r      f i c a d o      p r o n t o      e m      2 0 1 0      n ó s      e s t a m o s      e m      2 0 1 4      e      a q u e l e s      q u e      e s t ã o      l á      p r ó x i m o s      d a s      o b r a s      n ã o      a c r e d i t a m      m a i s      q u e      v e r ã o      u m a      g o t a      d ’ á g u a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; M a s      e u      a o      a s s u m i r      a      p r e s i d ê n c i a      d a      R e p ú b l i c a      e s t e j a m      c e r t o s      q u e      e s t a      o b r a      s e r á      c o n c l u í d a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; A      T r a n s n o r d e s t i n a      c a n d i d a t a      f a l t a      d e      p l a n e j a m e n t o      o r ç a d a      e m      R $      4      b i l h õ e s      j á      s e      g a s t o u      m a i s      d e      R $      8      b i l h õ e s      n i n g u é m      s a b e      q u a n d o      f i c a r á      p r o n t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; A b r e u      e      L i m a      c a n d i d a t a      u m a      o b r a      o r ç a d a      e m      R $      4      b i l h õ e s      j á      s e      g a s t o u      m a i s      d e      R $      3 0      b i l h õ e s      o n d e      é      q u e      h o u v e      o      p l a n e j a m e n t o      c a n d i d a t a ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; S e u      g o v e r n o      é      o      d a      a u s ê n c i a      d e      p l a n e j a m e n t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 3 ; A É C I O      N E V E S ; P o r      i s s o      n ó s      t e m o s      h o j e      u m      c u s t o      B r a s i l      a l t í s s i m o      b a i x í s s i m o s      i n v e s t i m e n t o s      s e m      l o g í s t i c a      e      q u e m      é      p u n i d o      p o r      i s s o      é      o      c i d a d ã o      b r a s i l e i r o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 4 ; A É C I O      N E V E S ; C a n d i d a t a      e u      t e n h o      d i t o      q u e      é      p r e c i s o      q u e      f a ç a m o s      u m a      r e f o r m a      p o l í t i c a      n o      B r a s i l . ; { ' n e g ' :      0 . 1 5 5 ,      ' n e u ' :      0 . 8 4 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 4 ; A É C I O      N E V E S ; E n t r e      t o d a s      p r o p o s t a s      q u e      t e n h o      a p r e s e n t a d o      c o n h e ç o      a s      s u a s      a c r e d i t o      q u e      t e m o s      q u e      a c a b a r      c o m      a      r e e l e i ç ã o      v i v e m o s      a      e x p e r i ê n c i a      d a      r e e l e i ç ã o      e      o      s e u      g o v e r n o      a c a b o u      p o r      d e s m o r a l i z á - l a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 4 ; A É C I O      N E V E S ; A      “ ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      0 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 4 ; A É C I O      N E V E S ; F o l h a      d e      S ã o      P a u l o ”      p u b l i c o u      h á      p o u c o s      d i a s      q u e      n u m a      s e x t a - f e i r a      d o s      s e u s      3 9      m i n i s t é r i o s      a p e n a s      1 5      m i n i s t r o s      e s t a v a m      t r a b a l h a n d o      e      q u e      a      s e n h o r a      a o      l o n g o      d o s      ú l t i m o s      3 5      d i a s      s e g u n d o      o      j o r n a l      d e      h o j e      f o i      d u a s      v e z e s      a o      P a l á c i o      d o      P l a n a l t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 4 ; A É C I O      N E V E S ; Q u e m      t á      g o v e r n a n d o      o      B r a s i l ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 5 ; A É C I O      N E V E S ; C a n d i d a t a      a q u i      n o s      b r i n d a      c o m      u m a      p é r o l a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 5 ; A É C I O      N E V E S ; Q u e r      d i z e r      q u e      a      s e n h o r a      é      c o n t r a      o      f i n a n c i a m e n t o      p r i v a d o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; A g r a d e ç o      s u a      g e n t i l e z a      e      a      d a      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; C a n d i d a t a      o      a n o      p a s s a d o      u m      a n o      n ã o      e l e i t o r a l      o      s e u      p a r t i d o      o      P T      r e c e b e u      8 0      m i l h õ e s      d e      r e a i s      e m      d o a ç õ e s      e m p r e s a r i a i s      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; Q u e      o      s e n h o r      s e u      p a r t i d o      n ã o      t e m      a u t o r i d a d e      p a r a      f a l a r      s o b r e      i s s o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; A      s u a      c a m p a n h a      é      u m a      c a m p a n h a      m i l i o n á r i a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; A g o r a      à s      v é s p e r a s      d o      s e g u n d o      t u r n o      o      s e u      c o o r d e n a d o r      f i n a n c e i r o      d a      c a m p a n h a      p e d i u      p a r a      a u m e n t a r      o      t e t o      d e      g a s t o s      p o r q u e      n ã o      t i n h a      m a i s      o n d e      c o l o c a r      d i n h e i r o      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; E u      n ã o      e u      s e m p r e      d e f e n d i      l i m i t a ç õ e s      n o      f i n a n c i a m e n t o      p r i v a d o      e      d e f e n d i      o      v o t o      d i s t r i t a l      m i s t o      e      d e f e n d i      a      c l á u s u l a      d e      d e s e m p e n h o      a l g o      i n c l u s i v e      q u e      f o i      a p r o v a d o      n o      t e m p o      e m      q u e      e u      e s t a v a      n a      C â m a r a      d o s      D e p u t a d o s . ; { ' n e g ' :      0 . 1 2 8 ,      ' n e u ' :      0 . 8 7 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 2 6 7 }
2 6 ; A É C I O      N E V E S ; A      s e n h o r a      a p r e s e n t a      u m a      p r o p o s t a      q u e      e u      g o s t a r i a      d e      c o n h e c ê - l a      p o r q u e      n ã o      s e i      c o m o      f u n c i o n a r i a      d o i s      t u r n o s      d e      e l e i ç ã o      p r o p o r c i o n a l      e s s a      é      a      p r i m e i r a      v e z      q u e      o u ç o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 6 ; A É C I O      N E V E S ; A s      n o s s a s      p r o p o s t a s      p a r a      r e f o r m a      p o l í t i c a      e s t ã o      c l a r a s      e n t r e      e l a s      o      f i m      d a      r e e l e i ç ã o      e      m a n d a t o s      d e      c i n c o      a n o s      p a r a      t o d o s      o s      c a r g o s      p ú b l i c o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; C a n d i d a t a      m a i s      u m a      v e z      o      c o n v i t e      e u      l h e      f a ç o : ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; v a m o s      o l h a r      p a r a      f r e n t e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; N ã o      v a m o s      a q u i      d e b a t e r      o l h a n d o      n o      r e t r o v i s o r      d a      H i s t ó r i a      c a d a      g o v e r n o      e m      s e u      t e m p o      f e z      a q u i l o      q u e      j u l g a v a      e s s e n c i a l . ; { ' n e g ' :      0 . 1 0 9 ,      ' n e u ' :      0 . 8 9 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 7 ; A É C I O      N E V E S ; O      P S D B      p a r a      m u i t o      o r g u l h o      n o s s o      f e z      o      m a i o r      p r o g r a m a      d e      d i s t r i b u i ç ã o      d e      r e n d a      d e s s e      p a í s      q u e      f o i      o      P l a n o      R e a l      a      e s t a b i l i d a d e      e c o n ô m i c a      q u e      t i r o u      o      f l a g e l o      d a      i n f l a ç ã o      d a s      c o s t a s      d o s      c i d a d ã o s      b r a s i l e i r o s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; E      o      m e u      c o m p r o m i s s o      c o m      o      a g r o n e g ó c i o      n ã o      é      u m      c o m p r o m i s s o      q u e      v e m      d e      a g o r a      é      u m      c o m p r o m i s s o      q u e      e u      t r a g o      c o m i g o      d e s d e      a      m i n h a      f o r m a ç ã o      e m      M i n a s      G e r a i s ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; n ó s      v a m o s      t e r      u m a      p o l í t i c a      a g r í c o l a      b a s e a d a      n o      c r é d i t o      n o      s e g u r o      e      n o      r e s p e i t o      n a      s e g u r a n ç a      j u r í d i c a      n o      c a m p o      c a n d i d a t a . ; { ' n e g ' :      0 . 3 7 ,      ' n e u ' :      0 . 6 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 7 7 8 3 }
2 7 ; A É C I O      N E V E S ; A      s e n h o r a      p e r m i t i u      q u e      n o      s e u      g o v e r n o      u m      d o s      s e t o r e s      d e      m a i o r      p o t e n c i a l i d a d e      d o      p a í s      o      e t a n o l      f o s s e      d e s t r u í d o      c e r c a      d e      7 0      u s i n a s      d e i x a r a m      d e      m o e r ; { ' n e g ' :      0 . 0 8 7 ,      ' n e u ' :      0 . 9 1 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 7 ; A É C I O      N E V E S ; o      d e s e m p r e g o      c h e g a      c a n d i d a t a      n o      N o r d e s t e      b r a s i l e i r o      n a s      r e g i õ e s      m a i s      p o b r e s      q u e      f o r n e c e m      a      c a n a - d e - a ç ú c a r . ; { ' n e g ' :      0 . 1 5 5 ,      ' n e u ' :      0 . 8 4 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 7 ; A É C I O      N E V E S ; N ó s      t e m o s      q u e      t e r      u m a      p o l í t i c a      a g r í c o l a      c a n d i d a t a      q u e      e m      p r i m e i r o      l u g a r      t i r e      o      M i n i s t é r i o      d a      A g r i c u l t u r a      d e s s e      l o t e a m e n t o      p o l í t i c o      a      q u e      e l e      f o i      s u b m e t i d o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 7 ; A É C I O      N E V E S ; E u      t e n h o      d i t o      q u e      c r i a r e i      o      “ S u p e r m i n i s t é r i o ”      d a      A g r i c u l t u r a      e      l á      e s t a r ã o      p e s s o a s      c o n e c t a d a s      c o m      o      s e t o r      p e s s o a s      q u e      t ê m      a u t o r i d a d e      p a r a      s e n t a r - s e      c o m      o      m i n i s t r o      d a      F a z e n d a      p a r a      d e f i n i r      p o l í t i c a      e c o n ô m i c a      c o m      o      m i n i s t r o      d o      P l a n e j a m e n t o      p a r a      d e f i n i r      o r ç a m e n t o      e      c o m      o      m i n i s t r o      d a      I n f r a e s t r u t u r a      p o r q u e      e s s e      e r a      u m      m i n i s t é r i o      c r i a d o      n o      m e u      g o v e r n o      p a r a      d e f i n i r      o s      i n v e s t i m e n t o s      e m      l o g í s t i c a      q u e      g a r a n t a m      m a i o r      c o m p e t i t i v i d a d e      a      q u e m      p r o d u z      n o      B r a s i l      c a n d i d a t a . ; { ' n e g ' :      0 . 0 6 7 ,      ' n e u ' :      0 . 9 3 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 5 2 6 7 }
2 8 ; A É C I O      N E V E S ; C a n d i d a t a      n ã o      t e n t e      r e e s c r e v e r      a      H i s t ó r i a      o      P r o n a f      f o i      c r i a d o      n o      n o s s o      g o v e r n o      o      m a i s      i m p o r t a n t e      i n s t r u m e n t o      d a      a g r i c u l t u r a      f a m i l i a r      q u e      e s s e      p a í s      j á      v i u . ; { ' n e g ' :      0 . 0 9 5 ,      ' n e u ' :      0 . 9 0 5 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 8 ; A É C I O      N E V E S ; A      g r a n d e      v e r d a d e      c a n d i d a t a      é      q u e m      o l h a      m u i t o      p a r a      o      p a s s a d o      é      p o r q u e      q u e r      f u g i r      d o      p r e s e n t e      o u      n ã o      t e m      n a d a      a      a p r e s e n t a r      e m      r e l a ç ã o      a o      f u t u r o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; V a m o s      d e b a t e r      o      B r a s i l      d a q u i      p a r a      f r e n t e . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; A      c r i s e      é      g r a v í s s i m a      e m      t o d o s      o s      s e t o r e s ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; o      B r a s i l      é      u m      p a í s      e x t r e m a m e n t e      p r o d u t i v o      d a      p o r t e i r a      p a r a      d e n t r o      d a      p o r t e i r a      p a r a      f o r a ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; f a l t a ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; t u d o      c a n d i d a t a      f a l t a      f e r r o v i a s      f a l t a m      h i d r o v i a s      f a l t a m      r o d o v i a s      p o r t o s      j á      q u e      o s      r e c u r s o s      e s t ã o      i n d o      p a r a      p o r t o s      f o r a      d o      B r a s i l      e      é      p r e c i s o      q u e      h a j a      p l a n e j a m e n t o      p a r a      q u e      n ó s      f a ç a m o s      o      q u ê ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 8 ; A É C I O      N E V E S ; U m      c o m b a t e      u m      c o m b a t e      q u a s e      q u e      u m a      g u e r r a      a o      c u s t o      B r a s i l      q u e m      p r o d u z      n o      B r a s i l      n ã o      t e m      c o m p e t i t i v i d a d e      n ó s      e s t a m o s      p e r d e n d o      o      m e r c a d o s      f o r a      d o      B r a s i l      p o r q u e      o      s e u      g o v e r n o      o p t o u      p o r      u m      a l i n h a m e n t o      i d e o l ó g i c o      a      n o s s a      p o l í t i c a      e x t e r n a      q u e      n ã o      a b r i u      u m      n o v o      m e r c a d o      a o      B r a s i l . ; { ' n e g ' :      0 . 0 4 9 ,      ' n e u ' :      0 . 9 5 1 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
2 9 ; A É C I O      N E V E S ; C a n d i d a t a      h á      a l g u m      t e m p o      a t r á s      o      m e d i a d o r      d e s s e      d e b a t e ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 9 ; A É C I O      N E V E S ; W i l l i a m      B o n n e r      e l e      f e z      u m a      p e r g u n t a      q u e      a      s e n h o r a      n ã o      r e s p o n d e u      e u      g o s t a r i a      q u e      a g o r a      a      c a n d i d a t a      D i l m a      R o u s s e f f      q u e      e s t á      a q u i      p u d e s s e      r e s p o n d e r      a o s      b r a s i l e i r o s :      n ã o      h á      n e n h u m      b r a s i l e i r o      c a n d i d a t a      q u e      n ã o      t e n h a      u m a      o p i n i ã o      c l a r a      s o b r e      o      q u e      a c o n t e c e u      n o      m e n s a l ã o      o u      c o n t r a      o u      a      f a v o r      e u      p o r      e x e m p l o      a c h o      q u e      o s      c o n d e n a d o s      f o r a m      c o n d e n a d o s      p o r q u e      c o m e t e r a m      i r r e g u l a r i d a d e s      m e m b r o s      d o      s e u      p a r t i d o      a c h a m      q u e      e l e s      s ã o      h e r ó i s      n a c i o n a i s . ; { ' n e g ' :      0 . 0 3 2 ,      ' n e u ' :      0 . 9 2 9 ,      ' p o s ' :      0 . 0 3 9 ,      ' c o m p o u n d ' :      0 . 1 2 8 }
2 9 ; A É C I O      N E V E S ; P a r a      a      c a n d i d a t a      D i l m a      R o u s s e f f ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
2 9 ; A É C I O      N E V E S ; o      s e u      J o s é      D i r c e u      p o r      e x e m p l o      f o i      p u n i d o      a d e q u a d a m e n t e      o u      é      h e r ó i      n a c i o n a l ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 0 ; A É C I O      N E V E S ; C a n d i d a t a      a      s e n h o r a      t r a z      a g o r a      a l é m      d a      n e g a ç ã o      d a      r e s p o s t a      d o      q u e      e u      p e r g u n t e i      a c h o      o      q u e      B r a s i l      m e r e c e      s a b e r      o      q u e      a      c i d a d ã      o      q u e      a      c a n d i d a t a      D i l m a      a c h a      e m      r e l a ç ã o      à      c o n d e n a ç ã o      d o      m e n s a l ã o      n ã o      s e i      p o r      q u e      t a n t o      c o n s t r a n g i m e n t o      m a s      a      s e n h o r a      t r a z      a q u i      d u a s      a f i r m a ç õ e s      m u i t o      p e r i g o s a s      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 0 ; A É C I O      N E V E S ; A      p r i m e i r a      d e l a s      é      e m      r e l a ç ã o      a      e s s a s      d e n ú n c i a s      p o r q u e      a      s e n h o r a      e r a      d o n a      d a      m e s a      e      d a      g a v e t a      e      o      s e u      p a r t i d o      a o      l o n g o      d e s s e s      1 2      a n o s      s e      e x i s t i a      a l g u m      i n d í c i o s      d e      i r r e g u l a r i d a d e      a      o b r i g a ç ã o      d o      g o v e r n a n t e      é      m a n d a r      a b r i r      i n v e s t i g a ç õ e s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 0 ; A É C I O      N E V E S ; V o c ê s      n ã o      f i z e r a m      i s s o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 0 ; A É C I O      N E V E S ; S e      a      s e n h o r a      q u e r      f a l a r      c o m      o      m e n s a l ã o      m i n e i r o      o      c h a m a d o      m e n s a l ã o      m i n e i r o      v a m o s      a g u a r d a r      q u e      e l e      s e j a      j u l g a d o      m a s      a      s e n h o r a      a g o r a      c o m e t e      u m      g r a v e      t a l v e z      a t é      u m a . . . ; { ' n e g ' :      0 . 0 9 8 ,      ' n e u ' :      0 . 9 0 2 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 3 8 1 8 }
3 0 ; A É C I O      N E V E S ; A      s e n h o r a      a n t e c i p o u      a l g o      q u e      p o s s a      q u e      p o d e      a m a n h ã      l h e      c r i a r      c o n s t r a n g i m e n t o s      p o r q u e      o      p r i n c i p a l      a c u s a d o      d o      m e n s a l ã o      m i n e i r o      é      o      c o o r d e n a d o r      d a      s u a      c a m p a n h a      e m      M i n a s      G e r a i s . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 1 ; A É C I O      N E V E S ; O      s e n h o r      W a l f r i d o      d o s      M a r e s      G u i a      q u e      v o o u      n o      a v i ã o      p r e s i d e n c i a l      c o m      a      s e n h o r a . ; { ' n e g ' :      0 . 1 6 7 ,      ' n e u ' :      0 . 8 3 3 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      - 0 . 2 9 6 }
3 1 ; A É C I O      N E V E S ; E s s a      s e m a n a      c a n d i d a t a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; C a n d i d a t a      n ã o      p o s s o      d e i x a r      d e      r e t o r n a r      à      p e r g u n t a      a n t e r i o r      d i z e r      q u e      i n f e l i z m e n t e      n ó s      v a m o s      à s      u r n a s      t o d o s      n ó s      b r a s i l e i r o s      s e m      q u e      s a i b a m o s      o      q u e      a      c a n d i d a t a      e      o      q u e      a      c i d a d ã      D i l m a      R o u s s e f f      a c h a      e m      r e l a ç ã o      a o      m e n s a l ã o      t a l v e z      p o r      d i f i c u l d a d e s      c o m      o s      s e u s      c o m p a n h e i r o s      d e      p a r t i d o      p a r a      q u e      o s      b r a s i l e i r o s      p o s s a m      f a z e r      e s s e      j u l g a m e n t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; C a n d i d a t a      a      s e n h o r a      d e v e r i a      h o n r a r      a q u i l o      q u e      e s c r e v e u      c a n d i d a t a      a o      p r e s i d e n t e      F e r n a n d o      H e n r i q u e      r e c o n h e c e n d o      q u a i s      e r a m      a s      p r i o r i d a d e s      n a q u e l e      m o m e n t o . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; O      g r a n d e      p r e s i d e n t e      d a      e s t a b i l i d a d e      s e g u n d o      d i s s e      a      s e n h o r a . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; E m      r e l a ç ã o      a      m i m      a o      m e u      g o v e r n o      c a n d i d a t a      e u      f i c o      s e m p r e      c o m      o s      e n o r m e s      e l o g i o s      q u e      a      s e n h o r a      m e      f e z      a t é      c o n s t r a n g i d o      p o r q u e      e r a m      e l o g i o s      r e a l m e n t e      m u i t o      f o r t e s      q u e      n e m      c o r r e l i g i o n á r i o s      c o s t u m e i r a m e n t e      m e      f a z i a m . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; A      s e n h o r a      m e      c o n s i d e r a v a      u m      d o s      m e l h o r e s      g o v e r n a d o r e s      d o      B r a s i l . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; O      g o v e r n a d o r      a b r o      a s p a s      p a r a      a      s e n h o r a      e x e m p l a r . ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; O      q u e      é      q u e      m u d o u ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; O      f a t o      d e      e u      s e r      c a n d i d a t o ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
3 2 ; A É C I O      N E V E S ; S e r      o      s e u      a d v e r s á r i o      h o j e ? ; { ' n e g ' :      0 . 0 ,      ' n e u ' :      1 . 0 ,      ' p o s ' :      0 . 0 ,      ' c o m p o u n d ' :      0 . 0 }
